,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
771,Abiko Curry,itH4GH2Mw2D5n5kkQAtMog,New York,NY,Japanese Curry,40.7474259684723,-73.9862179359732,$$,688
772,Sam's Fried Ice Cream,KxK58KNpMw9A-gnysr6I5w,New York,NY,Ice Cream & Frozen Yogurt,40.7158246143014,-73.9914940147472,$,281
773,Cafe Hanamizuki,S-619sO8qSxQcis0DBHvNw,New York,NY,Cafes,40.7474471,-73.9915989,$$,509
774,Fonda East Village,0AWdTQZ97G4rutU0z9Di6g,New York,NY,Mexican,40.722852,-73.98286,$$,742
775,Astoria Seafood,2LcsDUTlvovnFz-SEcSJTQ,Long Island City,NY,Seafood,40.754,-73.9298699,$$,612
776,Amor y Amargo,6qnWAPjJ7UER4QLCtotyBw,New York,NY,Cocktail Bars,40.72572,-73.98428,$$,449
777,Hanoi House,bZQryeTD6hIsT6lSUxzSSw,New York,NY,Vietnamese,40.72698,-73.98357,$$,449
778,La Goulette,N5MArV2mu4PRBER8Mapdwg,Brooklyn,NY,Mediterranean,40.71483,-73.96157,$$,303
779,Cafe Boulud,TQEajJ-kahYPOToGZIyyaA,New York,NY,French,40.77444,-73.96396,$$$$,706
780,-321° Ice Cream Shop,wjv41V1Ztzj973ju3hEl5w,Brooklyn,NY,Desserts,40.7129,-73.95779,$$,499
781,The Capital Grille,ud4-0gH8YlAExTBJoADPtw,New York,NY,Seafood,40.7078813982786,-74.0102026698364,$$$,568
782,Klong,nFszVPUX4tj-oarjfBO0nw,New York,NY,Thai,40.729507,-73.989181,$$,1065
783,Ikinari Steak East Village,kr_Wu5m0P-AEghraNqXeTA,New York,NY,Steakhouses,40.73088,-73.98968,$$,746
784,Totto Ramen Hell's Kitchen,DPDznXYX5DBLBASKfxQ-DQ,New York,NY,Ramen,40.765055,-73.991001,$$,1033
785,The Meatball Shop,F2YbqhVr6hBsFrDCyr6M_w,New York,NY,Italian,40.7459138,-74.0015369,$$,855
786,Coney Shack,ISxL2HWJNCazHAdy5oblJA,New York,NY,Food Trucks,40.756127,-73.986265,$,287
787,Prune,4LV-7hGnfimAhoAuYhgvEg,New York,NY,American (New),40.723909,-73.989379,$$$,1034
788,Vite Vinosteria,abZ-mEvF6Tj4hfyIg0lKwQ,Astoria,NY,Italian,40.7629734277725,-73.92119564116,$$,559
789,Quantum Leap,xscOfj1dMkEKvhrRruLpIg,New York,NY,Vegetarian,40.72916,-73.99874,$$,659
790,Super Taste,bT4CDzyhV-frXV6ijvXnvw,New York,NY,Chinese,40.71513,-73.99341,$,535
791,Thai Holic,9WgsvzaiXNAmmQGD0uQxFQ,Fort Greene,NY,Thai,40.692989,-73.971282,$$,385
792,99 Favor Taste,3Rah-cvFk79duFQ83voQ5A,New York,NY,Hot Pot,40.728833,-73.988094,$$,543
793,Matcha n' More,VSSsrO8JVn7fwbfqnw9fyQ,New York,NY,Coffee & Tea,40.71801,-73.99727,$$,312
794,Tim Ho Wan,SyvC0s3y0ZrtnLbwnvw7tw,New York,NY,Dim Sum,40.73168,-73.99007,$$,1592
795,ABC Cocina,9z2lUyfzZV8b2rkkiwSM4g,New York,NY,Tapas/Small Plates,40.7379699846239,-73.9892806964011,$$$,874
796,Hide-Chan Ramen,qiw9Kgsu5YVGrQL_OeDmcQ,New York,NY,Ramen,40.75613,-73.9682,$$,1316
797,Seven Grams Caffe,HgfzssjwDEWtdcaxSJqfqg,New York,NY,Coffee & Tea,40.7456063122198,-73.9942775377597,$$,409
798,Ofrenda,9_CEU7Wmvmwlyvqr-PJD6w,New York,NY,Mexican,40.73391,-74.00242,$$,946
799,Black Tap - Soho,D2qV8sDdHEFlHbVz7VSHRQ,New York,NY,American (Traditional),40.723807,-74.004351,$$,1105
800,Souvlaki GR,gG0pitVnSaUMGbEL3boF0g,New York,NY,Greek,40.72122,-73.98711,$$,861
801,Motorino,S8OKQ5S40oZ1Rr5RbC0jdg,New York,NY,Pizza,40.73039,-73.98381,$$,1074
802,Nerai,E9NMNWvV70HV5gB369N0EA,New York,NY,Greek,40.7602,-73.97308,$$$,443
803,Saluggi's,kVrTff8uDMSBAaceBwQ7dg,New York,NY,Pizza,40.720104,-74.003578,$$,548
804,John Brown Smokehouse,4DQ1S0s5ViRsw_wpcT65cw,Long Island City,NY,Barbeque,40.7489,-73.95009,$$,868
805,Superiority Burger,tf3RVircY9-8adku41N6VQ,New York,NY,Burgers,40.72739,-73.98355,$,574
806,Sunday in Brooklyn,9AXTJkwXdWaJaQkCjpj6mA,Brooklyn,NY,American (New),40.714145,-73.965322,$$,673
807,Tacombi - Nolita,d7YbQzGlmawMGAzUHzZvuw,New York,NY,Mexican,40.7240304,-73.9939028,$$,1081
808,Harry's,pNYcGGAj4AYaExlmrEmfUw,New York,NY,Steakhouses,40.70451,-74.0098299,$$$,664
809,Brooklyn Cupcake,MXdHUM2jD80ghukWuGp4hA,Brooklyn,NY,Cupcakes,40.7103899,-73.9511799,$$,328
810,Barbounia,1SaKutXcH38X0KvayyDHUA,New York,NY,Greek,40.7382,-73.98804,$$$,1214
811,Nam Nam,R-TRmWuK1nBGRB7iq0XphA,Brooklyn,NY,Vietnamese,40.70728,-73.94509,$,430
812,Mamasita Bar & Grill,xemN4tP9RlK5c-yUT-M71Q,New York,NY,Mexican,40.76733,-73.98945,$$,975
813,Saxon + Parole,7y7E2wavr-HBwEmq2snMLw,New York,NY,American (New),40.72521,-73.99247,$$$,754
814,Paul's Da Burger Joint,yk8j4W34Cy4K6uy9Btkf9Q,New York,NY,Burgers,40.7286071777344,-73.9880599975586,$$,948
815,Modern Love Brooklyn,BYnd0Kbkrjhz0CGKMF1lqg,Brooklyn,NY,Salad,40.70983,-73.95109,$$,440
816,Big Gay Ice Cream Shop,3xwMgziTShBW4qR6sXke9A,New York,NY,Desserts,40.7332706734871,-74.003248,$,1144
817,Senza Gluten,LnMRZhKtOrW1eL04FiPYTg,New York,NY,Italian,40.7290911050589,-74.0003699151971,$$,538
818,Momo Sushi Shack,ZrzSDDj54aUlPqn4MQMKeQ,Brooklyn,NY,Japanese,40.7051406133,-73.933340055132,$$,648
819,District Saigon,YjkEjOJ05z4MVDmbrWvWdQ,Astoria,NY,Vietnamese,40.7596365,-73.9199343,$$,536
820,Brooklyn Roasting Company,pzqb1u_GeU-vkrk_KdFieQ,Brooklyn,NY,Coffee & Tea,40.704228,-73.986241,$$,508
821,Times Square Diner,W0k5HHTa7IJsR51Nf7fOmA,New York,NY,American (Traditional),40.7614036889404,-73.9869685269328,$$,860
822,Cascalote Latin Bistro,BxnrBKdLwdaEXyq97uxgKg,New York,NY,Latin American,40.79271,-73.94069,$$,333
823,Pio Pio 7,BZcG-xN3DCxlfhckBZYeuw,New York,NY,Latin American,40.74525,-73.97768,$$,804
824,15 East Restaurant,GBWMJJ4_rDWqiXJ7AvHAOg,New York,NY,Japanese,40.7363799,-73.99213,$$$$,625
825,Samba Kitchen,aJqjC4uAo6vhOpsVNCiMDA,New York,NY,Brazilian,40.76095,-73.99115,$$,420
826,POST,ihplCj2HKWR7z-bBKf8Nzw,New York,NY,Breakfast & Brunch,40.72298,-73.98302,$$,234
827,The Candle Cafe,x5HLJVEOYF-cCmGEZFu9yA,New York,NY,Vegan,40.771434,-73.959146,$$,895
828,Xian Famous Foods,kwqOmEwWJ0D9PyCdFGE3-g,New York,NY,Chinese,40.747844,-73.983901,$$,706
829,Black Iron Burger,fgtw4swOHXEFwZpBCG05rQ,New York,NY,Burgers,40.75427,-73.99031,$$,895
830,Juice Vitality,ytYVlCkrzcAxxUcbT4NTgA,New York,NY,Juice Bars & Smoothies,40.72966,-73.9834,$,160
831,The Saint Austere,L5MrjGhBqQkwlguY0ilxqA,Brooklyn,NY,Tapas Bars,40.7114604,-73.9476182,$$,374
832,Dudley's,L7_MTRZyYp_i-cnH2CU4zQ,New York,NY,Cafes,40.71798,-73.99042,$$,661
833,Spaghetti Incident,XHhRAKq6DArQXYhkgvwaow,New York,NY,Italian,40.7223153441439,-73.9899454318763,$$,555
