,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
64,Zazie,gqVl3RprESEqkIPeJH0yOg,San Francisco,CA,Breakfast & Brunch,37.765244,-122.4501138,$$,4303,4.0
65,Saigon Sandwich,hqQoVK0vadOX7_4gN1sh3g,San Francisco,CA,Vietnamese,37.7831519576568,-122.417318022037,$,3200,4.5
66,Sweet Maple,-DrR38H1Abk0wCyu9XOLug,San Francisco,CA,American (Traditional),37.785735681426,-122.43507770852,$$,3527,4.0
67,Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,San Francisco,CA,Pizza,37.7997956,-122.4080729,$,3406,4.5
68,Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,San Francisco,CA,Bars,37.78818,-122.41458,$$$,2264,4.5
69,Tony's Pizza Napoletana,mSMZJj2pFvttWLpcDmgrEA,San Francisco,CA,Pizza,37.8003315377662,-122.409053979377,$$,4862,4.0
70,Sotto Mare Oysteria & Seafood,8dUaybEPHsZMgr1iKgqgMQ,San Francisco,CA,Seafood,37.79979,-122.40834,$$,3600,4.5
71,Foreign Cinema,n6L5VIGunR51-D55C-eYeQ,San Francisco,CA,Breakfast & Brunch,37.75637,-122.41925,$$$,4758,4.0
72,Golden Gate Bakery,m3xdxV8YNH5uh1N01xdnLA,San Francisco,CA,Bakeries,37.79633,-122.40703,$,3323,4.5
73,Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,San Francisco,CA,Ramen,37.785155,-122.432075,$$,2567,4.5
74,Little Star Pizza,__I9HmtBMV4dDkEgT22V4g,San Francisco,CA,Pizza,37.77753,-122.43798,$$,2853,4.5
75,Mama's On Washington Square,MvAo0hj9FXOeNL5PwBZ0fQ,San Francisco,CA,Breakfast & Brunch,37.801606,-122.409599,$$,4179,4.0
76,Chapeau!,L5vSeC_sa3TUQW_lticqyA,San Francisco,CA,French,37.78327,-122.46066,$$$,2674,4.5
77,Humphry Slocombe Ice Cream,47OC_X6KkiDDQ4jwoCUjFg,San Francisco,CA,Ice Cream & Frozen Yogurt,37.75279,-122.4122,$,3351,4.0
78,The Codmother Fish & Chips,PDhfVvcVXgBinZf5I6s1KQ,San Francisco,CA,British,37.8072702557489,-122.417093771758,$$,2918,4.5
79,La Taqueria,JARsJVKLPgs_yC3cwDnp7g,San Francisco,CA,Mexican,37.75088,-122.41805,$,3953,4.0
