,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews
361,Stelton Pizza & Restaurant,_CKcpm2j5N33055MOZqp2Q,Piscataway,NJ,Pizza,40.541103,-74.423073,$,69
362,Eli's Fish and Grill,uP_4CRyKUaarv97vTTpn6g,Franklin Township,NJ,Halal,40.45819,-74.511623,0,19
363,Sam I Am Bagels,SnDHGm9LC1Cr_HKSCrVPsQ,Piscataway,NJ,Bagels,40.5337173565561,-74.4189550878299,$,47
364,Bubble Yogurt,uhvT4LVaG0zfoBD98mVCZg,Edison,NJ,Ice Cream & Frozen Yogurt,40.504823688431,-74.3980966883911,$,48
365,Bagel Market and Deli,wh5_74yMCk3fB4jJ5S7YOA,Somerset,NJ,Delis,40.5104522705078,-74.4851455688477,$,57
366,Bagel Boys,emzij8-1ZaC5lB1RlzIjMw,North Brunswick,NJ,Delis,40.4396873354351,-74.4772500081452,$,42
367,Burgerim,Mr5g_xDNl1ghk8bRa0m79Q,New Brunswick,NJ,Burgers,40.49798,-74.44832,0,22
368,Super Duper Deli II,tRYjRQV_nSvsRKfWJ8a7ig,Edison,NJ,Delis,40.5022006576492,-74.3907707057984,$,25
369,Tastee Sub Shop II,KDHSwb2OooVTTq23Z5WDPA,Franklin Park,NJ,Sandwiches,40.4371869759115,-74.5393124665887,$,101
370,Punta Cana Grill,yzZggmQS54VAKzIMoCxnSA,Somerset,NJ,Dominican,40.4902532325822,-74.4746817548443,$,13
371,Halal Boys,0C_UFtpdDNOg6V622PHfLQ,North Brunswick,NJ,Middle Eastern,40.458932727708,-74.4726570312134,$,38
372,Las Delicias Bakery,3jCvnhn0MD-Oa7MwWXSkWA,New Brunswick,NJ,Bakeries,40.4927902,-74.4523368,$,7
373,Panera Bread,RG-d9paE9VRj4bXp1acv1w,North Brunswick,NJ,Sandwiches,40.4624084802237,-74.4598266375733,$,82
374,Stan's Chitch's Pizza Restaurant & Bar,uymTvgBoIcHpktyYipuOMQ,Bound Brook,NJ,Pizza,40.56149,-74.53688,$$,70
375,Duk Soo Goong,Q-FG2cmMzr2yCTGDuj4FIg,Edison,NJ,Korean,40.5152085676205,-74.3807517067414,$$,44
376,30 Burgers,cSLYiw4NLrgnDbtc_0k9Jw,East Brunswick,NJ,Burgers,40.45422,-74.39928,$,53
377,Tian Asian Express,uavU2-K4r1KUS1AlYhEHfw,East Brunswick,NJ,Japanese,40.4292079,-74.3838441,$$,63
378,Mi Amore Market,ax17tT_dz1FMIk19Z_uWqA,Somerset,NJ,Grocery,40.521539,-74.521465,$,55
379,Big Pink's BBQ,6CncK0Bzx2gwIpaITMy20w,Bridgewater,NJ,Food Trucks,40.5695686,-74.5725763,0,27
380,Hooters,dZgLcJKNUvV1NKQZCOe-Ug,East Brunswick,NJ,Sports Bars,40.469939,-74.40946,$$,96
381,Sushi Suzuki,_eFbAXDfgBh_kmZR0vSf6g,Metuchen,NJ,Sushi Bars,40.5415204,-74.362319,$$,96
382,Olive Press Eatery,Uwe8I4JF69A5mN1S0_dv5A,Metuchen,NJ,Middle Eastern,40.5408448,-74.362576,0,43
383,LongHorn Steakhouse,7lxcdRsD26vPdRbMzg30BA,North Brunswick,NJ,Steakhouses,40.4459909279111,-74.4998129651426,$$,90
384,Edison Pizza & Italian Restaurant,zJQ6mQlh7Z4DBTl-qqR4bQ,Edison,NJ,Italian,40.503206,-74.388858,$$,87
385,Las Cazuelas Restaurant,qUPA6D1Z3UtisU8kebA-xg,New Brunswick,NJ,Mexican,40.493253,-74.451806,$$,13
386,Pasquale Brick Oven Pizza & Restaurant,Dr8svmKtgpUZkXF5BcC6Qw,Milltown,NJ,Pizza,40.4550982,-74.4248649,$$,77
387,Lox Stock & Deli,zj2ZxXRTYg-YC3xo3o13TA,Milltown,NJ,Delis,40.4510032,-74.4244531,$$,73
388,Cosina de Chencha,zoBTgl2X2_hyrXtHgJG67Q,New Brunswick,NJ,Mexican,40.4919226650682,-74.452049061656,0,3
389,Ovations,kWrY54cxZ6D9RyaN1UWu8w,South Bound Brook,NJ,Italian,40.55682,-74.53746,$$,116
390,Rio of Japan,MHGNwzFS7Ji-K8CE9DTsfA,Metuchen,NJ,Sushi Bars,40.546474,-74.370704,$$,42
391,The Original Picken Chicken,Q1lhyOGgQraJToPAstCQyw,New Brunswick,NJ,Southern,40.4894980893932,-74.4416703453855,$,21
392,The Kabab Factory,C6Pa1FTC25v8F_vKD-NkLw,Metuchen,NJ,Indian,40.54222,-74.36422,0,52
393,Teppanyaki Grill Sushi Supreme Buffet,jUoE46TMpP_E6C1ZOQmeGA,East Brunswick,NJ,Buffets,40.459652,-74.404106,$$,241
394,Adyar Ananda Bhavan,EgQaXPyOFGgXul6Vp7oifQ,South Plainfield,NJ,Indian,40.5542631,-74.4309359,$$,127
395,Cai's Cafe,DsQg_hJaaTRfGEcpWpwVtg,Metuchen,NJ,Wine Bars,40.5419,-74.36133,$,92
396,The Greene Turtle Sports Bar & Grille,Dxdv75ELmzUk6bl3ZDYTEQ,North Brunswick,NJ,Sports Bars,40.4374507207583,-74.5040748012581,$$,227
397,Somerset Diner,_Kjm8prRF2c2wuGNhKlvFQ,Somerset,NJ,Diners,40.51490094166,-74.4870735701916,$$,201
398,Morals Village,xp5Hrix7B58ZV4AvvCPaiw,Somerset,NJ,Hot Pot,40.5118703018285,-74.4871568012225,0,17
399,La Bonbonniere,srK-ygsdhFJ0KGVN-67SjQ,South Plainfield,NJ,Bakeries,40.5538112575525,-74.4277623900319,$$,37
400,Bar Louie - Brunswick Square,6GoolMLPu2dCCPyYq09zvA,East Brunswick,NJ,Bars,40.4239913,-74.3818194,$$,389
401,Crazy Burrito,0yNwnAsxioP-_YX5SrQUQA,Edison,NJ,Mexican,40.5129291862249,-74.4026662409306,$,53
402,GYRO KING & GRILL,5lGRJHVD9ILVu_7Jz7mQlA,Kendall Park,NJ,Mediterranean,40.43981,-74.5323,0,42
403,Mithaas Piscataway,6xbdqvty1HD3tDeyAgYQTQ,Piscataway Township,NJ,Indian,40.53938,-74.422296,$$,112
404,Kono Chicken,mEWdNnD1DC8AaTPlIJQ22w,Edison,NJ,Korean,40.5126488,-74.4063402,$$,41
405,Brower Commons,kQjUh-VqHerVUu36PC15YA,New Brunswick,NJ,Buffets,40.5034103,-74.4518661,$$$$,8
406,Krispy Krust  Pizza,IN3SGjmV0_xtUmsGCCFYow,North Brunswick,NJ,Pizza,40.4339127,-74.4874326,$,94
407,Sunny Side Up,NiM0nktILSzz6S1kX9JK7w,Sayreville,NJ,Diners,40.4611751,-74.3613249,$,54
408,Casablanca,Dl_p-042GDITzMHaOrm_xw,East Brunswick,NJ,Moroccan,40.4175705,-74.4113225,$$,60
409,Redd’s Biergarten - New Brunswick,1EAIKI6-NHQB4wRAI6hU9g,New Brunswick,NJ,Beer Gardens,40.49686833,-74.44679333,0,14
410,Konaseema Cuisine,YdhUWUMcDnkj4FEZ71cXCQ,North Brunswick Township,NJ,Indian,40.43878,-74.509,$$,65
411,Fresco by Jimmy,ZCqnh9KVZCLq52AtG2LeHQ,Metuchen,NJ,Sandwiches,40.542835816741,-74.3621615320444,$,51
412,Carvel,a2eDWdjT4GhHWEISQyXRKg,Highland Park,NJ,Ice Cream & Frozen Yogurt,40.499008,-74.429298,$$,28
413,Positive Vybz Island Grill,7nsyLFqdQB790PXvr62F-A,Somerset,NJ,Caribbean,40.48505,-74.47544,$,6
414,Meemah Chinese-Malaysian Cuisines,pt5WcjqFPwyviRKgzgVpjw,Edison,NJ,Chinese,40.555172932268,-74.3447506427765,$$,83
415,Moghul Express,2Yulr2NF1-Ysn-YYJ2xzeg,Kendall Park,NJ,Indian,40.43605,-74.53989,$$,50
416,The Halal Guys - New Brunswick,0iNrBX-9wh4bZ33VUEWHTA,New Brunswick,NJ,Halal,40.497778,-74.448486,$,31
417,LongHorn Steakhouse,QPJv0_ldqM9_yP73-VgV-A,Piscataway,NJ,Steakhouses,40.5519387,-74.4356025,$$,101
418,Mirchi,1tpCFxGtne5DsGUw2QRY2A,North Brunswick,NJ,Indian,40.444232,-74.501488,$$,117
419,Kuba Cafe,BTA0I_4Exbwugi4r5oUGig,New Brunswick,NJ,Cuban,40.49822,-74.456329,0,8
420,The Phoenician Market,NeG-0KAgYvk-sbLJZoyi4A,North Brunswick,NJ,Bakeries,40.4693624252587,-74.451305061886,$$,5
421,Subway Restaurants,R-bA-Chr5Oja3inXBgSw_Q,New Brunswick,NJ,Sandwiches,40.499012239194,-74.45149654012,$,5
422,Mist Hookah Lounge,herx4P-zuDimM238xKrvHg,North Brunswick Township,NJ,Hookah Bars,40.4631041430871,-74.4513021556371,$$,95
423,Joey D's Pizzeria,c9Z6ghZZ1bmTBfm9WI8hhw,Metuchen,NJ,Pizza,40.546913,-74.370826,$,51
424,Dunkin',cQj05XvJBl00GbfPWojpEw,Highland Park,NJ,Donuts,40.498151,-74.434162,$,33
425,Shahnawaz Banquet,CjJooMeB07o1I8m6NrgY7w,Edison,NJ,Pakistani,40.532585144043,-74.3408432006836,$$,121
426,Mangia Toscano,jrRjPWgaqVX_93LzX4JjJQ,Metuchen,NJ,Italian,40.5420948188491,-74.3616201811639,$$,46
427,Fresh Pita Pita Mediterranean Grill,S1atEu6L2inMm-NEffFV5Q,Milltown,NJ,Middle Eastern,40.4410990330426,-74.4240292266746,$,90
428,Flame Kabob House,rpJhltERJlUuFcV3iQur7w,Franklin Township,NJ,Halal,40.51532,-74.48855,0,14
429,Lago,aa7_66GSgEcOuqwDh7TxuQ,North Brunswick,NJ,American (New),40.440151,-74.46802,$$,145
430,Pierce Street Bagel Cafe Deli & Grill,xrlx51hv6pj7HFTv7TcbRA,Franklin Township,NJ,Delis,40.5290087,-74.5211468,$,32
431,Hungarian Festival,b-_WfOnL1ZBVRBogGgD44Q,New Brunswick,NJ,Local Flavor,40.48702,-74.46783,0,3
432,Marco's Deli,ukP8a0Mru77NIIi3-yZcLw,Metuchen,NJ,Delis,40.5347969,-74.3598701,$,35
433,Dunkin',8OR5DiyljMCapgT63FMaNA,New Brunswick,NJ,Donuts,40.496645,-74.446048,$,11
434,Shivaji Indian Express Cuisine,4VrFwzsOjvNUNZQePPDbgA,Edison,NJ,Indian,40.5068952805328,-74.3985836549097,$$,76
435,Los Contreras,8auLrLIopLVnqlBhS5yO0g,Edison,NJ,Mexican,40.498382,-74.409279,0,14
436,Asanka Delight,JM7jt1kRGDIXUqq9dU2eYQ,Somerset,NJ,African,40.458129,-74.511697,$$,29
437,Buccleuch Park,TGIQBP9rcPgt1yx9GUhORQ,New Brunswick,NJ,Parks,40.5041201283493,-74.460752789355,0,4
438,Bagel Market & Deli,Dw1DMxGsT3k6HQ3EhlbtVw,Kendall Park,NJ,Delis,40.4357919,-74.5413645,$,56
439,Anjappar Chettinad South Indian Cuisine,88R9FEJeA6zLjtY2ZAiAlQ,North Brunswick,NJ,Indian,40.434750304139,-74.4857339712979,$$,120
440,Desi Food Galaxy,llZGOEwhIOQOWJXUiCFRbg,Somerset,NJ,Indian,40.4581062732883,-74.5116658206384,$,57
441,Metuchen Diner,K6BzOqkh-dhF55D-ILY_6g,Metuchen,NJ,Diners,40.541298,-74.365222,$$,88
442,Park Place,jrancCVFAe3VGLnUM0cQaw,Highland Park,NJ,Kosher,40.498001,-74.431449,$$,18
443,La Bonbonniere Bake Shoppe,0uR9_nrf-em9QNbcV-VW7g,Somerset,NJ,Bakeries,40.529433,-74.54172,$$,34
444,Kennedy Fried Chicken,Tts0EBN_cvSzMT1MwWpKXw,Franklin Township,NJ,Chicken Wings,40.4928207,-74.4696274,$,8
445,Sandy's Luncheonette,iSG_AVYUthutwWf1_aYtGw,East Brunswick,NJ,Diners,40.4175677,-74.4113569,$,81
446,Panera Bread,9DydfOmX5cSgTncazpngag,New Brunswick,NJ,Soup,40.5026877,-74.4516245,$$,15
447,Starbucks,Xibbu_OGLblHdEtIOIvjvA,New Brunswick,NJ,Coffee & Tea,40.49533206,-74.4496054,$,2
448,Royal Orchid Thai Cuisine,B8D6nbvPMPK94FGKFhqWaw,North Brunswick Township,NJ,Thai,40.4473055761189,-74.4980565879723,0,47
449,Maria's Pizza & Subs,yaxsxQTTbRU8Cy3jwa29SQ,Milltown,NJ,Pizza,40.4539480136261,-74.4410576038349,$,28
450,Moe's Southwest Grill,EJttT5TE_Hse7YgssOny-A,North Brunswick,NJ,Mexican,40.4415748555093,-74.5062894350125,$,75
451,Oasis Hookah Lounge,Cji0KyIAmWvXXcHJc64whw,North Brunswick,NJ,Hookah Bars,40.4719658195972,-74.4498295336962,$,18
452,QDOBA Mexican Eats,oq18JF82kpdtfbEq4tmykA,Edison,NJ,Mexican,40.5072937,-74.394174,$,40
453,The Coffee Bar,iWz0-lDgH7KjczoimckA9Q,Milltown,NJ,Coffee & Tea,40.442803,-74.424101,$$,27
454,Rebounderz - Edison,wx0U5ZpFh92JdTuDuC-duw,Edison,NJ,Amusement Parks,40.5284401,-74.3993235,0,108
455,Caribean Cafe,LeEWkHh7fsEuoee0xpJrng,New Brunswick,NJ,Cafes,40.49178,-74.44277,0,2
456,Camillo's Restaurant Pizza,bN-MvJnxV6UagMjrraPQGg,Sayreville,NJ,Pizza,40.45709,-74.368162,$$,80
457,Recanto do Xiru,gIR1d5gDjx0Y34lgAgLXmw,South River,NJ,Coffee & Tea,40.4515842119279,-74.3793147407096,$,24
458,J.Y.C.D. Deli & Grocery,gYYwTpiG3VXBz-ptUfVU_Q,New Brunswick,NJ,Grocery,40.48276,-74.44422,$,2
459,Itzy Bitzy Patisserie,oaWp5qWY9pEmI3WyFngLsw,New Brunswick,NJ,Desserts,40.4947700500488,-74.4438095092773,0,2
460,Red Robin Gourmet Burgers and Brews,5INBYUVqCav0R0ZTOG02Ng,South Plainfield,NJ,Burgers,40.55531,-74.430693,$$,162
461,Scarlet Pub,UYCrEDmwPT2vhjBl9Hoswg,New Brunswick,NJ,Bars,40.4995975808087,-74.4529073996385,$,19
462,Hanok Buffet,c-qG__Lm8IbAz4oX6Zmsbg,East Brunswick,NJ,Buffets,40.446782,-74.397898,$$,52
463,De Island Breeze Caribbean Restaurant & Lounge,EeHYuvexqO0HAVvQGAesCA,Somerset,NJ,Caribbean,40.4862118,-74.4820408,$$,43
464,Smashburger,5BDRCRNPCPGlWmNq_oNESw,East Brunswick,NJ,Burgers,40.434729749932,-74.3913401920461,$,130
465,Sabroso restaurant,4L8RQkS8kVCUhkdEcj5Rpw,New Brunswick,NJ,Spanish,40.48632,-74.44649,0,5
466,Perkins Restaurant & Bakery,4Yg5k9TR0TH3CN4ayVMNWw,East Brunswick,NJ,American (Traditional),40.4585086313283,-74.4013224542141,$,44
467,Wawa,vODukNV5hnG2w3nyZ-lONw,South River,NJ,Coffee & Tea,40.4618427771422,-74.4005694574776,$,23
468,Brookside Deli,mwamVFy5gRxhYqMLoIw0uA,New Brunswick,NJ,Delis,40.475221,-74.473147,$,8
469,Asian Garden,Ej0WTzYfPHC2ozoYPsiSzw,Highland Park,NJ,Asian Fusion,40.5016555786133,-74.4159088134766,$$,28
470,La Finca Mexican Restaurant and Pizzeria,QDv03UakWJHs-6Rh6OyFRg,New Brunswick,NJ,Pizza,40.4781048792113,-74.4602427643363,$$,5
471,Campus Pizza,bHGqy6vif35iJ4OawId_2A,New Brunswick,NJ,Pizza,40.49969,-74.454055,0,2
472,Roosevelt County Park,9fskQgITdRWrqn6W7L5TYQ,Edison,NJ,Parks,40.552284,-74.341235,0,24
473,La Rosa's Pizza,C4SLFBqTHj1xvV2F9E21SQ,Metuchen,NJ,Pizza,40.5407021,-74.3652874,$$,46
474,Edo Takeout,kZPiIGbJ6RPjPTUZfNOzYA,Edison,NJ,Japanese,40.5551087830904,-74.3458007527786,$$,37
475,Legal Grounds Cafe,eMxTL_qtg2hwcVp8zWWTsg,New Brunswick,NJ,Cafes,40.494347408129,-74.4449101425596,$,5
476,Gianni's Pizzarama,SpuZJsGarsieHlLhUSN53Q,Piscataway,NJ,Italian,40.5547569196119,-74.4342819582242,$$,50
477,Kettleman's Bagels,cI86lJ9VfOt7-UfHCBuUNQ,Somerset,NJ,Delis,40.529897,-74.54152,$,149
478,Peking Duck House,wykYMNidsZo4WOy0BXplmA,North Brunswick,NJ,Asian Fusion,40.4351691,-74.4857437,$$,47
479,Indian hut Somerset,FrAu3yK42WiD8490vgq07w,Franklin Township,NJ,Indian,40.5350899,-74.50733,$$,33
480,Crazy 4 Falafel,khMfUvs-XZTQ-ueMCFNqFA,Somerset,NJ,Mediterranean,40.529433,-74.54172,$,66
481,Sarku Japan Teriyaki & Sushi Express,IVxpTtsAAIts2RkzqS4NgQ,North Brunswick,NJ,Sushi Bars,40.4613216713086,-74.4570270222514,$,53
